Denver,194.74805283546448,0.10600996017456055,0,0.008086352384597898,0.016339685354444897,0.08992414795035814,-0.03300514905504248
Denver,198.28843235969543,0.10193800926208496,1,0.008086352384597898,0.016339685354444897,0.08992414795035814,-0.03300514905504248
Denver,314.80241990089417,0.115692138671875,2,0.008086352384597898,0.016339685354444897,0.08992414795035814,-0.03300514905504248
Denver,258.2149693965912,0.1164250373840332,3,0.008086352191861728,0.016339689366859034,0.08992414687869843,-0.033005124433625355
Denver,199.67169523239136,0.10263466835021973,1,0.008086352384597898,0.016339685354444897,0.08992414795035814,-0.03300514905504248
Minneapolis,485.23107981681824,0.11469435691833496,1,0.004389807343669547,0.04967593309261331,0.06625562122318035,0.6473304959773267
Denver,432.06876587867737,0.10073280334472656,1,0.008086352384597898,0.016339685354444897,0.08992414795035814,-0.03300514905504248
Phoenix,417.767648935318,0.17951059341430664,1,0.0037622352516910183,0.04740550604744495,0.06133706262685733,0.7366178443377227
Denver,387.5283172130585,0.10436606407165527,2,0.008086352384597898,0.016339685354444897,0.08992414795035814,-0.03300514905504248
Minneapolis,416.5436999797821,0.14851927757263184,2,0.0041733869175025326,0.04823865353701636,0.06460175630354435,0.6647173374447006
Minneapolis,210.33428716659546,0.11957836151123047,1,0.004302584161344856,0.049145137085338866,0.06559408632906519,0.6543378550802467
Minneapolis,200.46351289749146,0.09232115745544434,0,0.010312572546706103,0.0791985268603315,0.1015508372526101,0.1715058177918849
Phoenix,182.81956911087036,0.13606667518615723,0,0.006546551524169605,0.06377554032810458,0.08091076272146744,0.5416966943215582
Phoenix,214.80886268615723,0.12018918991088867,2,0.003774339766916821,0.04748995802900206,0.06143565550164514,0.73577044562389
Phoenix,183.46899366378784,0.09839057922363281,3,0.00389805738265627,0.04859979189816562,0.06243442466024869,0.7271093677946374
Phoenix,180.07299208641052,0.13698673248291016,4,0.003891480141861684,0.04852582341146351,0.06238172923109525,0.7275698195587874
Minnepolis,197.9562554359436,0.14860129356384277,4,0.0042674742851635614,0.04896170584504354,0.06532590822302864,0.657158521603804
Minnepolis,187.350168466568,0.09645271301269531,3,0.004934747058848002,0.05308237305568373,0.07024775483136811,0.6035509849353702
